singer,title,language,charCount,originalArtist,confidence,needsReview,source,notes
Gnight_南音,别,中文,1,薛之谦,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,她,中文,1,苏打绿,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,我,中文,1,蔡依林,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,窗,中文,1,吴青峰,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,蓝,中文,1,陈奕迅,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,不搭,中文,2,李荣浩,high,false,manual_seed,
Gnight_南音,乞丐,中文,2,刘宇宁,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,人质,中文,2,张惠妹,high,false,manual_seed,
Gnight_南音,仇敌,中文,2,陈柏宇,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,你走,中文,2,松紧先生,medium,false,lyric_search_seed,按歌名/歌词搜索补齐；可后续抽样复核
Gnight_南音,出卖,中文,2,那英,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,只你,中文,2,颜人中,medium,false,lyric_search_seed,按歌名/歌词搜索补齐；可后续抽样复核
Gnight_南音,可乐,中文,2,赵紫骅,high,false,manual_seed,
Gnight_南音,同类,中文,2,孙燕姿,high,false,manual_seed,
Gnight_南音,后来,中文,2,刘若英,high,false,manual_seed,
Gnight_南音,咖啡,中文,2,张学友,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,哪吒,中文,2,GAI周延,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,嘉宾,中文,2,张远,high,false,manual_seed,
Gnight_南音,嚣张,中文,2,en,high,false,manual_seed,
Gnight_南音,墙角,中文,2,苟瀚中,medium,false,lyric_search_seed,按歌名/歌词搜索补齐；可后续抽样复核
Gnight_南音,太阳,中文,2,邱振哲,high,false,manual_seed,
Gnight_南音,安静,中文,2,周杰伦,high,false,manual_seed,
Gnight_南音,山海,中文,2,草东没有派对,high,false,manual_seed,
Gnight_南音,当你,中文,2,王心凌,high,false,manual_seed,
Gnight_南音,心跳,中文,2,王力宏,high,false,manual_seed,
Gnight_南音,忽然,中文,2,李志,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,恋人,中文,2,李荣浩,medium,false,lyric_search_seed,按歌名/歌词搜索补齐；可后续抽样复核
Gnight_南音,想象,中文,2,蔡健雅,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,慢慢,中文,2,张学友,high,false,manual_seed,
Gnight_南音,懦弱,中文,2,TRASH,medium,false,lyric_search_seed,按歌名/歌词搜索补齐；可后续抽样复核
Gnight_南音,成全,中文,2,刘若英,high,false,manual_seed,
Gnight_南音,我们,中文,2,陈奕迅,high,false,manual_seed,
Gnight_南音,戒烟,中文,2,李荣浩,high,false,manual_seed,
Gnight_南音,无问,中文,2,毛不易,high,false,manual_seed,
Gnight_南音,晚安,中文,2,颜人中,medium,false,manual_seed,常见版本，待最终校对
Gnight_南音,晚星,中文,2,唐汉霄,medium,false,lyric_search_seed,按歌名/歌词搜索补齐；可后续抽样复核
Gnight_南音,暗香,中文,2,沙宝亮,high,false,manual_seed,
Gnight_南音,朝夕,中文,2,檀健次,medium,false,lyric_search_seed,按歌名/歌词搜索补齐；可后续抽样复核
Gnight_南音,李白,中文,2,李荣浩,high,false,manual_seed,
Gnight_南音,模特,中文,2,李荣浩,high,false,manual_seed,
Gnight_南音,歌者,中文,2,田嘉瑞,medium,false,lyric_search_seed,按歌名/歌词搜索补齐；可后续抽样复核
Gnight_南音,泪桥,中文,2,伍佰,high,false,manual_seed,
